mysql> select content,   if(content like '1-%' ,   '1',   ''  ) countryCode,   if(content like '1-%' ,   SUBSTRING_INDEX(SUBSTRING_INDEX(content, '-', 2),'-',-1),   SUBSTRING_INDEX(TRIM(LEADING '(' FROM content), ')', 1)  ) areaCode,    if(content like '1-%' ,   SUBSTRING_INDEX(content, '-', -2),   SUBSTRING_INDEX(content, ' ', -1)  ) lineNumber from Phone;

+----------------+-------------+----------+------------+
| content        | countryCode | areaCode | lineNumber |
+----------------+-------------+----------+------------+
| (726) 732-1076 |             | 726      | 732-1076   |
| (646) 640-1430 |             | 646      | 640-1430   |
| (111) 396-3055 |             | 111      | 396-3055   |
| (605) 230-7173 |             | 605      | 230-7173   |
| (397) 966-5700 |             | 397      | 966-5700   |
| (594) 756-8455 |             | 594      | 756-8455   |
| (487) 897-3861 |             | 487      | 897-3861   |
| (282) 869-7478 |             | 282      | 869-7478   |
| (255) 647-1196 |             | 255      | 647-1196   |
| (169) 195-3964 |             | 169      | 195-3964   |
| (719) 441-1506 |             | 719      | 441-1506   |
| (840) 607-2973 |             | 840      | 607-2973   |
| (956) 901-1794 |             | 956      | 901-1794   |
| (778) 799-6921 |             | 778      | 799-6921   |
| (297) 648-9955 |             | 297      | 648-9955   |
| (392) 459-7615 |             | 392      | 459-7615   |
| (138) 486-5328 |             | 138      | 486-5328   |
| (504) 381-1187 |             | 504      | 381-1187   |
| (236) 569-9186 |             | 236      | 569-9186   |
| (427) 373-9039 |             | 427      | 373-9039   |
| (170) 776-2226 |             | 170      | 776-2226   |
| (588) 653-2753 |             | 588      | 653-2753   |
| (401) 921-5802 |             | 401      | 921-5802   |
| (439) 275-5002 |             | 439      | 275-5002   |
| (553) 761-8526 |             | 553      | 761-8526   |
| (330) 317-3260 |             | 330      | 317-3260   |
| (793) 537-0227 |             | 793      | 537-0227   |
| (367) 706-0447 |             | 367      | 706-0447   |
| (620) 399-2377 |             | 620      | 399-2377   |
| (391) 520-2816 |             | 391      | 520-2816   |
| (136) 155-0342 |             | 136      | 155-0342   |
| (878) 746-8732 |             | 878      | 746-8732   |
| (869) 950-7777 |             | 869      | 950-7777   |
| (346) 107-9046 |             | 346      | 107-9046   |
| (569) 964-0253 |             | 569      | 964-0253   |
| (475) 816-1004 |             | 475      | 816-1004   |
| (725) 857-1097 |             | 725      | 857-1097   |
| (698) 172-7372 |             | 698      | 172-7372   |
| (981) 736-3792 |             | 981      | 736-3792   |
| (657) 407-1675 |             | 657      | 407-1675   |
| (466) 579-3267 |             | 466      | 579-3267   |
| (983) 368-1507 |             | 983      | 368-1507   |
| (786) 458-8601 |             | 786      | 458-8601   |
| (354) 198-5030 |             | 354      | 198-5030   |
| (149) 369-1695 |             | 149      | 369-1695   |
| (361) 964-9279 |             | 361      | 964-9279   |
| (379) 235-1644 |             | 379      | 235-1644   |
| (566) 325-0433 |             | 566      | 325-0433   |
| (219) 525-1191 |             | 219      | 525-1191   |
| (677) 950-1255 |             | 677      | 950-1255   |
| (688) 419-6102 |             | 688      | 419-6102   |
| (533) 316-9295 |             | 533      | 316-9295   |
| (462) 901-5262 |             | 462      | 901-5262   |
| (245) 422-5333 |             | 245      | 422-5333   |
| (882) 368-5510 |             | 882      | 368-5510   |
| (496) 403-4685 |             | 496      | 403-4685   |
| (398) 373-3241 |             | 398      | 373-3241   |
| (694) 793-5879 |             | 694      | 793-5879   |
| (348) 539-4214 |             | 348      | 539-4214   |
| (968) 455-4730 |             | 968      | 455-4730   |
| (875) 858-4572 |             | 875      | 858-4572   |
| (895) 212-1031 |             | 895      | 212-1031   |
| (759) 223-5391 |             | 759      | 223-5391   |
| (668) 633-3815 |             | 668      | 633-3815   |
| (323) 413-7069 |             | 323      | 413-7069   |
| (648) 342-6096 |             | 648      | 342-6096   |
| (929) 521-3906 |             | 929      | 521-3906   |
| (486) 621-7392 |             | 486      | 621-7392   |
| (435) 764-5848 |             | 435      | 764-5848   |
| (919) 875-6545 |             | 919      | 875-6545   |
| (403) 500-8533 |             | 403      | 500-8533   |
| (639) 884-2557 |             | 639      | 884-2557   |
| (532) 822-2676 |             | 532      | 822-2676   |
| (132) 239-8228 |             | 132      | 239-8228   |
| (737) 500-9927 |             | 737      | 500-9927   |
| (495) 278-4667 |             | 495      | 278-4667   |
| (138) 234-7461 |             | 138      | 234-7461   |
| (821) 713-2972 |             | 821      | 713-2972   |
| (899) 354-9609 |             | 899      | 354-9609   |
| (895) 316-2615 |             | 895      | 316-2615   |
| (666) 270-0985 |             | 666      | 270-0985   |
| (470) 382-8117 |             | 470      | 382-8117   |
| (305) 831-2727 |             | 305      | 831-2727   |
| (771) 386-8454 |             | 771      | 386-8454   |
| (667) 202-1942 |             | 667      | 202-1942   |
| (222) 852-5376 |             | 222      | 852-5376   |
| (414) 108-5268 |             | 414      | 108-5268   |
| (765) 337-8274 |             | 765      | 337-8274   |
| (903) 918-8276 |             | 903      | 918-8276   |
| (274) 311-8292 |             | 274      | 311-8292   |
| (163) 441-8890 |             | 163      | 441-8890   |
| (335) 853-5412 |             | 335      | 853-5412   |
| (920) 323-6770 |             | 920      | 323-6770   |
| (841) 252-5213 |             | 841      | 252-5213   |
| (368) 335-0611 |             | 368      | 335-0611   |
| (988) 756-1575 |             | 988      | 756-1575   |
| (301) 622-6628 |             | 301      | 622-6628   |
| (570) 297-9330 |             | 570      | 297-9330   |
| (890) 202-1165 |             | 890      | 202-1165   |
| (349) 736-6178 |             | 349      | 736-6178   |
| (897) 216-0242 |             | 897      | 216-0242   |
| (891) 357-6955 |             | 891      | 357-6955   |
| (214) 275-9113 |             | 214      | 275-9113   |
| (903) 961-4144 |             | 903      | 961-4144   |
| (993) 714-5575 |             | 993      | 714-5575   |
| (929) 266-4112 |             | 929      | 266-4112   |
